year,quarter,sold_price_ind,date,mspus,msptfc,constr_price_ind,cpi,ffr,fmr_1,sold_corrected,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,real_ffr
1999,3,73.04,1999-07-01,159100,168400,73,166.7,4.99,331.6255442670537,2178.258488499452,2179.4520547945203,2305.5859802847754,2306.849315068493,4.542815674891147,0.02993401319736053
1999,4,72.98,1999-10-01,165300,168000,73.4,168.1,5.2,331.6255442670537,2265.0041107152642,2252.043596730245,2302.0005480953687,2288.828337874659,4.5180591861996415,0.03093396787626413
2000,1,74.31,2000-01-01,165300,159800,74.7,169.3,5.45,333.35050798258345,2224.465078724263,2212.85140562249,2150.4508141569104,2139.2235609103077,4.462523533903393,0.03219137625516834
2000,2,74.53,2000-04-01,163200,150700,75.3,170.9,6.02,333.35050798258345,2189.7222594928216,2167.330677290837,2022.0045619213738,2001.32802124834,4.426965577457948,0.03522527794031597
2000,3,75.79,2000-07-01,168800,157200,76,172.7,6.54,333.35050798258345,2227.206755508642,2221.0526315789475,2074.152262831508,2068.4210526315787,4.386190894507677,0.03786913723219456
2000,4,76.21,2000-10-01,172900,183100,76.5,173.9,6.51,333.35050798258345,2268.7311376459784,2260.1307189542486,2402.571840965753,2393.4640522875816,4.3575229801644895,0.0374353076480736
2001,1,76.85,2001-01-01,169800,172500,77.7,175.6,5.98,335.48250728862973,2209.4990240728694,2185.328185328185,2244.632400780742,2220.07722007722,4.317664186468851,0.03405466970387244
2001,2,77.32,2001-04-01,179000,184700,78.6,176.4,4.8,335.48250728862973,2315.054319710295,2277.35368956743,2388.7739265390587,2349.8727735368957,4.268225283570353,0.027210884353741496
2001,3,78.15,2001-07-01,172500,157800,80,177.4,3.77,335.48250728862973,2207.293666026871,2156.25,2019.193857965451,1972.5,4.193531341107872,0.02125140924464487
2001,4,79.09,2001-10-01,171100,172400,81.5,177.6,2.49,335.48250728862973,2163.3581995195345,2099.3865030674847,2179.795170059426,2115.3374233128834,4.1163497826825735,0.014020270270270273
2002,1,80.91,2002-01-01,188700,181100,80.6,177.7,1.73,347.5247813411079,2332.2209862810532,2341.1910669975186,2238.2894574218267,2246.8982630272953,4.311721852867343,0.009735509285312324
2002,2,81.28,2002-04-01,187200,190700,81.4,179.3,1.75,347.5247813411079,2303.149606299213,2299.7542997542996,2346.2106299212596,2342.7518427518426,4.269346208121718,0.009760178471834913
2002,3,80.6,2002-07-01,178100,198700,81.7,180,1.73,347.5247813411079,2209.677419354839,2179.9265605875153,2465.260545905707,2432.068543451652,4.253669294260806,0.00961111111111111
2002,4,83.81,2002-10-01,190100,194200,82.3,181.2,1.75,347.5247813411079,2268.225748717337,2309.842041312272,2317.1459253072426,2359.659781287971,4.222658339503133,0.009657836644591612
2003,1,84.25,2003-01-01,186000,216000,83.7,182.6,1.24,355.75655976676387,2207.7151335311573,2222.222222222222,2563.79821958457,2580.6451612903224,4.250377058145327,0.0067907995618839
2003,2,84.61,2003-04-01,191800,175900,85.3,183.2,1.26,355.75655976676387,2266.8715281881573,2248.5345838218054,2078.9504786668244,2062.1336459554514,4.17065134544858,0.006877729257641922
2003,3,87.11,2003-07-01,191900,185400,85.1,183.7,1.01,355.75655976676387,2202.9617724715877,2254.9941245593423,2128.343473768798,2178.6133960047005,4.180453111242819,0.005498094719651606
2003,4,88.52,2003-10-01,198800,176300,87.1,184.9,1.01,355.75655976676387,2245.820153637596,2282.4339839265213,1991.640307275192,2024.110218140069,4.0844610765414915,0.005462412114656571
