fips,year,has_kitchen,complete_plumbing,debt_incurred,metro
34017,2017,0.9883367139959433,0.9961122379986478,0.7172774869109948,1
34017,2018,0.9894642857142857,0.99875,0.6903052064631957,1
34017,2019,0.9861306179775281,0.9984199438202247,0.7052255471192497,1
34017,2020,0.9875706214689266,0.9963841807909605,0.6750156543519098,1
34017,2021,0.9893617021276596,0.9966312056737588,0.6638418079096046,1
34017,2022,0.9884595208952615,0.9982514425598881,0.6684210526315789,1
34019,2005,0.9987341772151899,0.9987341772151899,0.8297126839523475,1
34019,2006,1,1,0.8203716448726772,1
34019,2007,0.9958258795468098,0.9934406678592725,0.8234912394548994,1
34019,2008,0.9993932038834952,0.9981796116504854,0.8191560616208975,1
34019,2009,1,1,0.8379310344827586,1
34019,2010,1,1,0.8058864751226349,1
34019,2011,1,1,0.7891566265060241,1
34019,2012,0.9979661016949153,0.9993220338983051,0.7945945945945946,1
34019,2013,0.9958275382475661,0.9965229485396384,0.7962085308056872,1
34019,2014,0.9993328885923949,1,0.7842387146136189,1
34019,2015,0.9978962131837307,1,0.7657142857142857,1
34019,2016,0.9965846994535519,0.9979508196721312,0.7495987158908507,1
34019,2017,0.9987004548408057,0.9974009096816114,0.7416232315711094,1
34019,2018,0.9986945169712794,1,0.7142857142857143,1
34019,2019,0.9987088444157521,0.9993544222078761,0.7282282282282282,1
34019,2020,0.9964221824686941,0.9991055456171736,0.6860706860706861,1
34019,2021,0.9987886129618413,0.9981829194427619,0.6614010989010989,1
34019,2022,0.9988590986879635,0.9994295493439818,0.6461636017755231,1
34021,2005,0.997134670487106,0.9984081502706145,0.7728731942215088,1
34021,2006,0.9986915276414786,0.9983644095518482,0.7448594208980277,1
34021,2007,0.9993765586034913,0.9962593516209476,0.7672654690618762,1
34021,2008,0.9958413307741523,0.9977607165706974,0.7867892976588629,1
34021,2009,0.9970568999345978,0.9964028776978417,0.7916487300904004,1
34021,2010,0.9915574963609898,0.9991266375545852,0.7852998065764023,1
34021,2011,0.9892436974789915,0.9952941176470588,0.7641119779715466,1
34021,2012,0.9986472776462632,1,0.7628350749659246,1
34021,2013,0.9970228250082699,0.9973536222295732,0.7493138151875571,1
34021,2014,0.9952814290529154,0.9983147960903269,0.7587677725118483,1
34021,2015,0.9961699164345403,0.9979108635097493,0.7131027764247443,1
34021,2016,0.9971641261963843,0.9996455157745481,0.715483234714004,1
34021,2017,0.9975920192638459,0.99828001375989,0.678396871945259,1
34021,2018,0.9941881583726844,0.9970940791863422,0.6921539230384808,1
34021,2019,0.9953203743700504,0.9989200863930886,0.6970134874759152,1
34021,2020,0.9947941315664931,0.9995267392333176,0.6221804511278195,1
34021,2021,0.9963636363636363,0.9990082644628099,0.6693657219973009,1
34021,2022,0.9935442220787605,0.9951581665590704,0.6399826914755518,1
34023,2005,0.9970662755034004,0.9955994132551007,0.756155950752394,1
34023,2006,0.9973691133912128,0.9973691133912128,0.772052550759256,1
34023,2007,0.998001066098081,0.9985341151385928,0.7689499304589708,1
34023,2008,0.9964240102171137,0.996551724137931,0.7799363590688327,1
34023,2009,0.9960990045735808,0.9969061070755986,0.7861116095460254,1
34023,2010,0.9963216641298833,0.997843734145104,0.7610812625923439,1
34023,2011,0.9934146341463415,0.995609756097561,0.76220703125,1
34023,2012,0.9979458210296572,0.9996148414430607,0.7531503538753668,1
34023,2013,0.9963379214547291,0.9993686071473671,0.7257646448937273,1
34023,2014,0.9971711456859972,0.997942651407998,0.7193075428369546,1
34023,2015,0.9974385245901639,0.9971823770491803,0.7154227095861337,1
34023,2016,0.997522816166884,0.9984354628422425,0.7090582959641255,1
34023,2017,0.9963595279939744,0.9973637961335676,0.681316787314719,1
34023,2018,0.9948068397720076,0.9996200126662445,0.7102739726027397,1
34023,2019,0.9987308034014469,0.9994923213605788,0.7010796221322537,1
34023,2020,0.9946688206785137,0.9975767366720517,0.648379580597331,1
34023,2021,0.9956521739130435,0.9990846681922196,0.6270747677782854,1
34023,2022,0.994733762434172,0.996255119953189,0.6340478409443927,1
34025,2005,0.9953369434416366,0.996690734055355,0.8011000709723208,1
34025,2006,0.9935995123437976,0.9916184090216398,0.8018799710773681,1
34025,2007,0.9971772396374982,0.9973258059723666,0.8017332861690838,1
34025,2008,0.9950965369292063,0.9958627030340178,0.7826800364630812,1
34025,2009,0.9969824984912492,0.9971333735666867,0.7866375386855998,1
34025,2010,0.9938987187309335,0.9957291031116534,0.7690905777291781,1
34025,2011,0.9933312162591299,0.9957129247380121,0.7610244559984595,1
34025,2012,0.9976235741444867,0.9995247148288974,0.7680107013185553,1
34025,2013,0.9967840735068912,0.9989280245022971,0.7519640852974186,1
34025,2014,0.9963217655525348,0.9985606908683832,0.7478975161353413,1
34025,2015,0.9958886780518659,0.9966793168880456,0.7371483996120272,1
34025,2016,0.9969663100750439,0.9985629889829155,0.73949246629659,1
34025,2017,0.9966722129783694,0.9978823173498714,0.7242197481292206,1
34025,2018,0.9964124161597254,0.9992200904695056,0.7248826291079812,1
34025,2019,0.9950078003120125,0.9967238689547582,0.7031279265780108,1
34025,2020,0.9965235173824131,0.9985685071574643,0.6626360338573156,1
34025,2021,0.9964375834941368,0.9985156597892237,0.6640364720322637,1
34025,2022,0.995346742719904,0.9986490543380366,0.6368983957219251,1
34027,2005,0.9991991991991992,0.9993993993993994,0.7852675469075747,1
34027,2006,0.9968441814595661,0.9932938856015779,0.7938808373590982,1
34027,2007,0.9989983974358975,0.9941907051282052,0.7940902745463007,1
34027,2008,0.9970628549050323,0.9986293322890151,0.8044577205882353,1
34027,2009,0.9978187586753916,0.998810232004759,0.7799299883313886,1
34027,2010,0.9968454258675079,0.9968454258675079,0.787332408691632,1
34027,2011,0.9961065573770492,0.9979508196721312,0.772516475469856,1
34027,2012,0.9959966287399916,0.9970501474926253,0.7752154080081095,1
34027,2013,0.9928116656397618,0.9956869993838571,0.7654501216545012,1
34027,2014,0.9949441752685907,0.9970507689066779,0.7335534671069343,1
34027,2015,0.9962256238205074,0.9968546865170895,0.7539072190523444,1
34027,2016,0.9977924944812362,0.9993979530403372,0.7508507535245503,1
34027,2017,0.9965376782077393,0.9983706720977596,0.7177221404025528,1
34027,2018,0.9967728922952803,1,0.7121611897337491,1
34027,2019,0.9957695406929895,0.9987912973408541,0.7235236700829673,1
34027,2020,0.996816976127321,0.9994694960212201,0.6816892530728018,1
34027,2021,0.9972435518802913,0.9982279976373302,0.6709722874589009,1
34027,2022,0.9952563400839263,0.9983579638752053,0.6675164648396006,1
34029,2005,0.998661535887569,0.9971557637610842,0.7034079844206427,1
34029,2006,0.9981895984200132,0.9970375246872942,0.7116927779900649,1
34029,2007,0.9993605115907274,0.9980815347721822,0.7007653537427665,1
34029,2008,0.9961901606758323,0.9983435481199271,0.7052034428794992,1
34029,2009,0.9960656859391036,0.9946972288744441,0.7160096540627514,1
34029,2010,0.9981450252951096,0.9991568296795953,0.7133822929416564,1
34029,2011,0.9978598180845372,0.9996433030140895,0.709535344637745,1
34029,2012,0.9979835013748855,0.9985334555453712,0.7229580573951435,1
34029,2013,0.9960888888888889,0.9980444444444444,0.7095055413469735,1
34029,2014,0.9958744394618834,0.9942600896860987,0.6940559440559441,1
34029,2015,0.9955164683566132,0.9967235730298327,0.6701626712328768,1
34029,2016,0.9992845644786263,0.9994634233589698,0.6655794737986519,1
34029,2017,0.9947414548641542,0.996319018404908,0.673451896293122,1
34029,2018,0.9993083174822757,0.9998270793705689,0.6551724137931034,1
34029,2019,0.9948186528497409,0.9996545768566494,0.653481331987891,1
34029,2020,0.9974770642201835,0.9983944954128441,0.6204439572485613,1
34029,2021,0.9956702747710241,0.9976686094920899,0.620464009518144,1
34029,2022,0.998914223669924,0.9987591127656275,0.5995085995085995,1
34031,2005,0.9950347567030785,0.9905660377358491,0.7422337278106509,1
34031,2006,0.9965544659422211,0.9962894248608535,0.744578313253012,1
34031,2007,0.9957012358946803,0.9973132724341752,0.766302146618064,1
34031,2008,0.9891706286318014,0.9931325937665082,0.7740916271721959,1
34031,2009,0.993293783853495,0.9950993035852463,0.7515078407720145,1
34031,2010,0.9941046425939573,0.9965610415131417,0.7718353212774144,1
34031,2011,0.9956415145736857,0.9972759466085536,0.7453789279112755,1
34031,2012,0.9951444525370235,0.9975722262685118,0.7508210180623974,1
34031,2013,0.9938315539739028,0.995729537366548,0.7591182364729459,1
34031,2014,0.9913503123498318,0.9990389235944258,0.7346767422334173,1
34031,2015,0.9964610717896866,0.9972194135490394,0.7438656909169178,1
34031,2016,0.9939700916546068,0.9975880366618427,0.676890756302521,1
34031,2017,0.9959193470955353,0.998799807969275,0.7127659574468085,1
34031,2018,0.9943529411764706,0.9950588235294118,0.703353057199211,1
34031,2019,0.9971428571428571,0.9985714285714286,0.7020161290322581,1
34031,2020,0.9907146876758582,0.9946539110861001,0.6753528773072747,1
34031,2021,0.9899415204678362,0.9981286549707602,0.674989420228523,1
34031,2022,0.9939664804469274,0.9993296089385475,0.6776740847092606,1
34035,2005,0.9974160206718347,0.9977390180878553,0.8032069970845481,1
34035,2006,0.9971491922711435,0.9990497307570478,0.8068939955522609,1
34035,2007,0.9940307885642475,0.9984291548853284,0.7673913043478261,1
34035,2008,0.9986906710310965,0.9990180032733225,0.7785362153962837,1
34035,2009,0.9964844998402045,0.9974432726110578,0.7960046100653092,1
34035,2010,0.9953051643192489,0.9971830985915493,0.8007272727272727,1
34035,2011,0.9959252971137521,0.997283531409168,0.7829080599432969,1
34035,2012,0.9977360931435963,0.9996765847347995,0.7896578538102644,1
34035,2013,0.9987142397942783,0.9996785599485696,0.7262084592145015,1
34035,2014,0.9940099833610649,0.9983361064891847,0.7210884353741497,1
34035,2015,0.9953395472703063,0.9990013315579228,0.714003164556962,1
34035,2016,0.9967061923583662,1,0.71939586645469,1
34035,2017,0.9983964079538166,0.9987171263630532,0.7376294591484465,1
34035,2018,0.9971733668341709,0.9984296482412061,0.7164291072768192,1
34035,2019,0.99625,0.9996875,0.7193763919821826,1
34035,2020,0.9975510204081632,0.9979591836734694,0.6645692158760891,1
34035,2021,0.9919931369745496,0.9971404060623391,0.6442634080108622,1
34035,2022,0.9978088195015065,0.9980827170638181,0.6556788511749347,1
34037,2005,0.9978070175438597,0.9950657894736842,0.8401937046004843,1
34037,2006,0.9994813278008299,0.9984439834024896,0.7947096032202415,1
34037,2007,0.9994465965688988,0.9983397897066962,0.848987108655617,1
34037,2008,0.9882747068676717,0.9944165270798436,0.7969924812030075,1
34037,2009,0.9988789237668162,0.9988789237668162,0.8418079096045198,1
34037,2010,0.9946107784431137,0.9994011976047904,0.7941176470588235,1
34037,2011,0.9977937120794264,0.9988968560397132,0.8188494492044064,1
34037,2012,0.9983561643835617,0.9994520547945206,0.806930693069307,1
34037,2013,0.9941798941798942,0.9984126984126984,0.7792899408284024,1
34037,2014,1,0.9994438264738599,0.7969543147208121,1
34037,2015,0.9977912755383765,0.9977912755383765,0.7833437695679399,1
34037,2016,0.9994425863991081,0.9994425863991081,0.7509677419354839,1
34037,2017,0.9951426836672739,0.9963570127504554,0.7231520223152023,1
34037,2018,0.9982847341337907,1,0.7461139896373057,1
34037,2019,0.996565540927304,0.9954207212364052,0.7395766516998076,1
34037,2020,0.9985433357611071,0.9985433357611071,0.6919315403422983,1
34037,2021,0.9964267483409903,0.9954058192955589,0.6647498562392179,1
34037,2022,0.9978448275862069,0.9946120689655172,0.6304611650485437,1
34039,2005,0.9907546764136744,0.9978499247473661,0.7437874892887746,1
34039,2006,0.9936129444326166,0.9991483925910155,0.7756126365515206,1
34039,2007,0.9982525120139799,0.9971603320227174,0.7594512195121951,1
34039,2008,0.994856408058294,0.9944277753964852,0.7726454709058188,1
34039,2009,0.9928691275167785,0.9941275167785235,0.7659827534939042,1
34039,2010,0.98998998998999,0.9945945945945946,0.767135073128764,1
34039,2011,0.9931563666528411,0.9960597262546661,0.764493841994593,1
34039,2012,0.9942760228959084,0.9953360186559254,0.75493316359007,1
34039,2013,0.9928741092636579,0.9956812783416109,0.694044502617801,1
34039,2014,0.9903272278246553,0.9967071413871167,0.7493880048959608,1
34039,2015,0.9935550935550935,0.9968814968814969,0.7362002567394095,1
34039,2016,0.9977366255144033,0.9989711934156379,0.714987714987715,1
