year,sold_price_ind,date,mspus,msptfc,constr_price_ind,fmr_1,cpi,hpi,cpi_mspus,sold_corrected,cpi_sold,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,sold_2cor
2002,83.81,2002-10-01,190100,194200,82.3,381.47182133905574,181.2,268.1864705882353,1049.1169977924947,2268.225748717337,0.46252759381898456,2309.842041312272,2317.1459253072426,2359.659781287971,4.635137561835428,3.1999340244390324
2003,84.25,2003-01-01,186000,216000,83.7,392.0774316170141,182.6,271.6145098039216,1018.619934282585,2207.7151335311573,0.4613910186199343,2222.222222222222,2563.79821958457,2580.6451612903224,4.684318179414745,3.223911095595508
2003,84.61,2003-04-01,191800,175900,85.3,392.0774316170141,183.2,275.22058823529414,1046.943231441048,2266.8715281881573,0.4618449781659389,2248.5345838218054,2078.9504786668244,2062.1336459554514,4.596452891172499,3.2528139491229657
2003,87.11,2003-07-01,191900,185400,85.1,392.0774316170141,183.7,280.0601960784314,1044.6379967338053,2202.9617724715877,0.47419706042460535,2254.9941245593423,2128.343473768798,2178.6133960047005,4.60725536565234,3.2150177485757245
2003,88.52,2003-10-01,198800,176300,87.1,392.0774316170141,184.9,288.661568627451,1075.1757706868577,2245.820153637596,0.4787452677122769,2282.4339839265213,1991.640307275192,2024.110218140069,4.501463049563882,3.2609756961980456
2004,91.33,2004-01-01,212700,174200,88.9,394.7420647649361,186.3,293.61,1141.70692431562,2328.917113763276,0.4902308105206655,2392.5759280089987,1907.3688820759883,1959.5050618672665,4.4402931919565365,3.2148253585897297
2004,91.8,2004-04-01,217600,187300,91.4,394.7420647649361,187.4,301.25333333333333,1161.1526147278548,2370.3703703703704,0.48986125933831376,2380.7439824945295,2040.3050108932462,2049.234135667396,4.318840971169979,3.2816267247639797
2004,94.82,2004-07-01,213500,212800,93.6,394.7420647649361,189.1,314.02588235294115,1129.032258064516,2251.634676228644,0.501427815970386,2280.9829059829062,2244.2522674541237,2273.5042735042734,4.217329751762138,3.311810613298262
2004,95.05,2004-10-01,228800,184800,95.1,394.7420647649361,190.8,321.028431372549,1199.1614255765198,2407.154129405576,0.49816561844863727,2405.888538380652,1944.2398737506576,1943.217665615142,4.150810355046647,3.377469030747491
2005,96.52,2005-01-01,232500,218200,96.7,430.0649488673088,191.6,328.90156862745096,1213.4655532359081,2408.827186075425,0.5037578288100208,2404.343329886246,2260.67136344799,2256.4632885211995,4.447414155814982,3.407600172269488
2005,99.16,2005-04-01,233700,212600,97.1,430.0649488673088,193.7,340.2180392156863,1206.5049044914817,2356.797095603066,0.5119256582343831,2406.7971163748716,2144.0096813231144,2189.495365602472,4.429093191218422,3.4310007988673488
2005,101.36,2005-07-01,236400,194400,100.7,430.0649488673088,194.9,351.28274509803924,1212.9297075423294,2332.2809786898183,0.5200615700359158,2347.5670307845085,1917.9163378058406,1930.4865938430983,4.2707542092086275,3.465694012411595
2005,103.92,2005-10-01,243600,243800,101.8,430.0649488673088,199.1,359.83450980392155,1223.505775991964,2344.110854503464,0.5219487694625816,2392.9273084479373,2346.035411855273,2394.891944990177,4.224606570405784,3.4626107563887754
2006,104.07,2006-01-01,247700,258000,104.4,461.4075100802346,199.3,365.8494117647059,1242.8499749121927,2380.128759488806,0.5221776216758655,2372.605363984674,2479.1006053617757,2471.2643678160916,4.419612165519489,3.515416659601287
2006,105.66,2006-04-01,246300,222700,105.7,461.4075100802346,200.7,370.2147058823529,1227.204783258595,2331.061896649631,0.526457399103139,2330.1797540208136,2107.7039560855574,2106.906338694418,4.365255535290772,3.503830265780361
2006,104.83,2006-07-01,235600,254800,105.4,461.4075100802346,202.9,373.78549019607846,1161.163134549039,2247.4482495468856,0.5166584524396254,2235.2941176470586,2430.6019269293142,2417.4573055028463,4.377680361292549,3.5656347438336207
2006,103.84,2006-10-01,245400,252500,107.3,461.4075100802346,201.9,377.9943137254902,1215.4531946508173,2363.251155624037,0.5143140168400198,2287.045666356011,2431.6255778120185,2353.215284249767,4.300163188073016,3.640160956524366
2007,107.17,2007-01-01,257400,238700,107.9,477.75266630477415,203.437,380.1766666666667,1265.256565914755,2401.791546141644,0.5267969936638861,2385.5421686746986,2227.3024167210974,2212.233549582947,4.427735554261114,3.54741687661348
2007,105.93,2007-04-01,242200,221700,108,477.75266630477415,205.904,380.2449019607843,1176.276322946616,2286.4155574435945,0.5144630507420934,2242.5925925925926,2092.8915321438685,2052.777777777778,4.423635799118279,3.5895865379097924
2007,102.96,2007-07-01,241800,299300,106.4,477.75266630477415,207.603,377.25470588235294,1164.7230531350704,2348.4848484848485,0.4959465903671912,2272.5563909774437,2906.954156954157,2812.96992481203,4.490156638202764,3.664089994972348
2007,102.12,2007-10-01,238400,201200,106.7,477.75266630477415,209.19,376.9129411764706,1139.633825708686,2334.5084214649432,0.48816865050910657,2234.301780693533,1970.231100665883,1885.6607310215556,4.477532017851679,3.690882698555333
2008,98.79,2008-01-01,233900,229200,105.1,508.7908088280883,212.174,375.31450980392157,1102.3970891815209,2367.648547423828,0.4656084157342559,2225.4995242626073,2320.0728818706343,2180.780209324453,4.841016259068395,3.7991143820621676
2008,102.21,2008-04-01,235300,256600,103.8,508.7908088280883,213.942,367.39176470588234,1099.8307952622672,2302.1230799334703,0.4777463050733376,2266.859344894027,2510.517561882399,2472.061657032755,4.901645557110678,3.594479646863148
2008,100.18,2008-07-01,226500,273400,103.3,508.7908088280883,219.016,357.328431372549,1034.1710194688974,2260.930325414254,0.45740950432845096,2192.642787996128,2729.0876422439605,2646.6602129719263,4.925370850223508,3.5668639586000097
2008,95.73,2008-10-01,222500,227400,101.4,508.7908088280883,216.995,355.0501960784314,1025.369248139358,2324.2452731641074,0.4411622387612618,2194.2800788954632,2375.4308994045755,2242.603550295858,5.0176608365689175,3.708870741443971
2009,92.66,2009-01-01,208400,275700,101.7,535.5138962540026,211.933,356.91843137254904,983.3296371966612,2249.0826678178287,0.4372136477094176,2049.1642084562436,2975.393913231168,2710.914454277286,5.265623365329425,3.851914864801954
2009,96.15,2009-04-01,220900,260700,99.2,535.5138962540026,212.709,347.8466666666667,1038.5080085939005,2297.451898075923,0.45202600736217086,2226.814516129032,2711.3884555382215,2628.024193548387,5.398325567076639,3.6177500433350667
2009,94.34,2009-07-01,214300,262500,96.7,535.5138962540026,214.726,339.40098039215684,998.0160763018918,2271.570913716345,0.43935061427121075,2216.132368148914,2782.48887004452,2714.581178903826,5.5378893097621775,3.597636001612856
2009,96.21,2009-10-01,219000,247000,97.2,535.5138962540026,216.509,337.03568627450983,1011.5052953918776,2276.2706579357655,0.4443695181262673,2253.0864197530864,2567.3006963933067,2541.1522633744853,5.5094022248354175,3.503125312072652
2010,94.81,2010-01-01,222900,222300,97.8,543.722145846689,217.488,333.19176470588235,1024.8841315382917,2351.017825123932,0.43593209740307515,2279.1411042944787,2344.689378757515,2273.006134969325,5.559531143626677,3.51431035445504
2010,95.17,2010-04-01,219500,249000,95.7,543.722145846689,217.403,330.45450980392155,1009.6456810623589,2306.399075338867,0.4377584485954656,2293.6259143155694,2616.370705054114,2601.8808777429467,5.681527124834786,3.4722550152770992
2010,94.24,2010-07-01,224100,220300,96.4,543.722145846689,217.605,333.52235294117645,1029.8476597504653,2377.9711375212223,0.433078284046782,2324.688796680498,2337.6485568760613,2285.2697095435683,5.640271222476027,3.539074203535404
2010,96.28,2010-10-01,224300,250800,96.6,543.722145846689,219.035,331.7945098039216,1024.0372543200858,2329.663481512256,0.43956445316958476,2321.946169772257,2604.902368093062,2596.273291925466,5.62859364230527,3.4461415642285167
2011,93.7,2011-01-01,226900,216100,97,551.1714534630352,221.187,323.8256862745098,1025.8288235746222,2421.5581643543223,0.4236234498410847,2339.175257731959,2306.2966915688366,2227.8350515463917,5.6821799326086095,3.4559838449787597
2011,94.5,2011-04-01,228100,236800,97.5,551.1714534630352,224.093,318.71294117647057,1017.880969061952,2413.7566137566137,0.4216999192299626,2339.4871794871797,2505.8201058201057,2428.7179487179487,5.653040548338822,3.372623716153128
2011,93.02,2011-07-01,223500,249000,97.2,551.1714534630352,225.395,320.81117647058824,991.5925375451984,2402.7090948183186,0.41269770846735726,2299.3827160493825,2676.843689529134,2561.7283950617284,5.670488204352213,3.448840856488801
2011,93.98,2011-10-01,221100,205000,97.8,551.1714534630352,226.75,322.74764705882353,975.0826901874311,2352.6282187699508,0.414465270121279,2260.7361963190183,2181.3151734411576,2096.114519427403,5.635699933159869,3.4342162913260643
2012,94.02,2012-01-01,238400,261000,96.8,538.8657533504454,227.842,320.06686274509804,1046.3391297478076,2535.6307168687513,0.41265438330070836,2462.809917355372,2776.0051052967456,2696.280991735537,5.566794972628569,3.4042423180716663
2012,95.16,2012-04-01,238700,249200,97.4,538.8657533504454,229.187,318.40490196078434,1041.5075898720258,2508.4068936527956,0.41520679619699197,2450.718685831622,2618.7473728457335,2558.5215605749486,5.532502601133936,3.3459951866412814
2012,98.94,2012-07-01,248800,264900,98.4,538.8657533504454,228.59,322.0358823529412,1088.411566560217,2514.6553466747523,0.43282733277921165,2528.4552845528456,2677.3802304426927,2692.0731707317073,5.4762779812037135,3.2548603431669823
2012,99.98,2012-10-01,251700,256400,99.4,538.8657533504454,231.638,324.4049019607843,1086.6092782704047,2517.5035007001397,0.4316217546343864,2532.193158953722,2564.512902580516,2579.476861167002,5.4211846413525695,3.2446979591996827
2013,101.35,2013-01-01,258400,236200,100.9,553.3621581664122,231.679,325.79470588235296,1115.3363058369555,2549.580661075481,0.43745872521894513,2560.9514370664024,2330.537740503207,2340.9316154608523,5.484263212749378,3.214550625380888
2013,104.7,2013-04-01,268100,293800,103.5,553.3621581664122,231.797,329.34509803921566,1156.6154868268356,2560.649474689589,0.45168833073767134,2590.3381642512077,2806.1127029608406,2838.647342995169,5.346494281801084,3.1456074311290894
2013,104.84,2013-07-01,264800,265600,104,553.3621581664122,232.9,333.1907843137255,1136.9686560755688,2525.753529187333,0.4501502790897381,2546.153846153846,2533.3842045020983,2553.846153846154,5.320789982369348,3.1780883662125667
2013,105.83,2013-10-01,273600,286800,107.5,553.3621581664122,233.669,334.8137254901961,1170.8870239526852,2585.278276481149,0.4529056057928095,2545.1162790697676,2710.006614381555,2667.906976744186,5.147554959687556,3.163693900502656
2014,106.76,2014-01-01,275200,322600,109.9,556.2166699839731,235.288,336.948431372549,1169.63041039067,2577.7444735856125,0.4537417972867295,2504.0946314831663,3021.7309853877855,2935.395814376706,5.06111619639648,3.1561299304285217
2014,112.73,2014-04-01,288000,310200,109.8,556.2166699839731,236.468,342.55117647058825,1217.92377827021,2554.7769005588575,0.4767241233486138,2622.9508196721313,2751.707619976936,2825.136612021858,5.065725591839464,3.03868691981361
2014,112.06,2014-07-01,281000,285800,111.3,556.2166699839731,237.498,347.1556862745098,1183.1678582556485,2507.5852222023914,0.47183555229938784,2524.7079964061095,2550.419418168838,2567.834681042228,4.997454357448096,3.0979447284892894
2014,114.42,2014-10-01,298900,296300,111.5,556.2166699839731,237.43,349.69960784313724,1258.8973592216653,2612.3055409893377,0.4819104578191467,2680.7174887892374,2589.5822408669815,2657.3991031390133,4.988490313757606,3.056280439111495
2015,110.96,2015-01-01,289200,294600,113.2,564.9291881230519,234.747,353.3741176470588,1231.9646257460158,2606.344628695025,0.472679097070463,2554.7703180212015,2655.010814708003,2602.4734982332157,4.990540531122366,3.1846982484414097
2015,110.75,2015-04-01,289100,310300,113.8,564.9291881230519,236.222,358.28549019607846,1223.8487524447341,2610.3837471783295,0.46883863484349464,2540.4217926186293,2801.805869074492,2726.7135325131812,4.964228366634902,3.2350834329217015
2015,112.79,2015-07-01,295800,339900,114.1,564.9291881230519,238.034,362.8843137254902,1242.6796171975432,2622.572923131483,0.4738398716149794,2592.4627519719547,3013.565032361025,2978.9658194566173,4.951176057169604,3.2173447444409096
2015,116.9,2015-10-01,302500,335000,114.4,564.9291881230519,237.733,365.60686274509806,1272.4358839538475,2587.6817792985457,0.4917281151543959,2644.230769230769,2865.6971770744226,2928.321678321678,4.9381922038728305,3.1275180730975025
2016,119.01,2016-01-01,299800,332700,114.9,582.8923261856668,237.652,368.62,1261.5084240822716,2519.1160406688514,0.5007742413276556,2609.225413402959,2795.5633980337784,2895.5613577023496,5.073040262712504,3.0973867742206536
2016,118.97,2016-04-01,306000,323600,117.3,582.8923261856668,238.992,374.7394117647059,1280.3775858606145,2572.0769942002185,0.4977990895092723,2608.695652173913,2720.0134487685973,2758.738277919864,4.969244042503553,3.1498647706539957
2016,122.43,2016-07-01,303800,293100,119.8,582.8923261856668,240.101,380.8890196078431,1265.3008525578819,2481.417953116066,0.5099104127013215,2535.8931552587646,2394.0210732663563,2446.5776293823037,4.865545293703396,3.1110758768916367
2016,123.74,2016-10-01,310900,352200,123.4,582.8923261856668,241.741,383.7554901960784,1286.0871759445024,2512.5262647486666,0.5118701420114916,2519.448946515397,2846.2906093421693,2854.132901134522,4.723600698425177,3.1013050767421886
2017,124.67,2017-01-01,313100,376700,124.5,605.0650799107764,243.618,385.88392156862744,1285.2088105148225,2511.4301756637524,0.5117437956144456,2514.859437751004,3021.5769631828025,3025.70281124498,4.859960481211055,3.0952428135768626
2017,126.38,2017-04-01,318200,348000,124.9,605.0650799107764,244.193,393.6370588235294,1303.0676555020004,2517.803449912961,0.5175414528671992,2547.638110488391,2753.600253204621,2786.228983186549,4.84439615621118,3.1147100713999794
2017,128.42,2017-07-01,320500,320900,126.2,605.0650799107764,244.243,399.44254901960784,1312.217750355179,2495.717178009656,0.5257878424356072,2539.619651347068,2498.831957638997,2542.7892234548335,4.7944935016701775,3.1104387869460197
2017,127.8,2017-10-01,337900,344400,126.9,605.0650799107764,246.626,402.55960784313726,1370.090744690341,2643.9749608763696,0.5181935400160567,2662.7265563435776,2694.8356807511736,2713.947990543735,4.768046334994297,3.1499186842186013
